DATETIME,FOM,ID,DISCUSSION
2017-07-03/05:17:13 - 2017-07-03/05:19:43,  49.0, kgenestreti(EVA),"  Long duration observation of quiet central CS (Bx~Bz~0) prior to onset of flapping, Vix reversal, and AE enhancement"
2017-07-03/05:19:43 - 2017-07-03/05:21:33, 110.0, kgenestreti(EVA), E field waves during onset of CS flapping prior to strong ion Vix reversal
2017-07-03/05:21:33 - 2017-07-03/05:23:13, 140.0, kgenestreti(EVA),  Tailward ion flow channel preceding possible IDR (flow rev.) with strong wave activity and Bz fluctuations
2017-07-03/05:23:13 - 2017-07-03/05:25:03, 140.0, kgenestreti(EVA),  Tailward ion flow channel preceding possible IDR (flow rev.) with strong wave activity and Bz fluctuations
2017-07-03/05:25:03 - 2017-07-03/05:27:03, 175.0, kgenestreti(EVA),"  Strong Vix flow reversal (~1000 km/s) near central CS with mult. Bz reversals, energ. electrons, ion heating, E&B waves. Likely IDR"
2017-07-03/05:27:03 - 2017-07-03/05:29:13, 175.0, kgenestreti(EVA),"  Strong Vix flow reversal (~1000 km/s) near central CS with mult. Bz reversals, energ. electrons, ion heating, E&B waves. Likely IDR"
2017-07-03/05:29:13 - 2017-07-03/05:31:23, 140.0, kgenestreti(EVA),"  Earthward flow channel following strong ion jet reversal, in & out of central CS, hot ions, E&B waves, energetic electrons"
2017-07-03/05:31:23 - 2017-07-03/05:33:33, 140.0, kgenestreti(EVA),"  Earthward flow channel following strong ion jet reversal, in & out of central CS, hot ions, E&B waves, energetic electrons"
2017-07-03/05:33:33 - 2017-07-03/05:35:43, 140.0, kgenestreti(EVA),"  Earthward flow channel following strong ion jet reversal, in & out of central CS, hot ions, E&B waves, energetic electrons"
2017-07-03/05:35:43 - 2017-07-03/05:37:53, 140.0, kgenestreti(EVA),"  Earthward flow channel following strong ion jet reversal, in & out of central CS, hot ions, E&B waves, energetic electrons"
2017-07-03/05:37:53 - 2017-07-03/05:40:03, 140.0, kgenestreti(EVA),"  Earthward flow channel following strong ion jet reversal, in & out of central CS, hot ions, E&B waves, energetic electrons"
2017-07-03/05:40:03 - 2017-07-03/05:42:13, 140.0, kgenestreti(EVA),"  Earthward flow channel following strong ion jet reversal, in & out of central CS, hot ions, E&B waves, energetic electrons"
2017-07-03/05:42:13 - 2017-07-03/05:44:13, 120.0, kgenestreti(EVA),"  End of Earthward ion jet following strong flow reversal, some energetic electrons, mostly outside central CS"
2017-07-03/05:44:13 - 2017-07-03/05:46:23, 120.0, kgenestreti(EVA),"  End of Earthward ion jet following strong flow reversal, some energetic electrons, mostly outside central CS"
2017-07-03/05:46:23 - 2017-07-03/05:48:23, 120.0, kgenestreti(EVA),"  End of Earthward ion jet following strong flow reversal, some energetic electrons, mostly outside central CS"
2017-07-03/05:50:03 - 2017-07-03/05:50:53, 100.0, kgenestreti(EVA),  Crossing of CS with embedded tailward-moving flux rope
2017-07-03/05:52:23 - 2017-07-03/05:54:03,  89.0, rnakamura(EVA),  crossing  thin CS in flow during flow reversal event
2017-07-03/05:56:03 - 2017-07-03/05:58:13, 120.0, kgenestreti(EVA),"  Parallel Earthward flows outside central CS (near PSBL?), perp Vix near central CS. Minor ion heating. Some E waves. Mult. Bz reversals"
2017-07-03/05:58:13 - 2017-07-03/06:00:23, 120.0, kgenestreti(EVA),"  Parallel Earthward flows outside central CS (near PSBL?), perp Vix near central CS. Minor ion heating. Some E waves. Mult. Bz reversals"
2017-07-03/06:00:23 - 2017-07-03/06:02:33, 120.0, kgenestreti(EVA),"  Parallel Earthward flows outside central CS (near PSBL?), perp Vix near central CS. Minor ion heating. Some E waves. Mult. Bz reversals"
2017-07-03/09:13:03 - 2017-07-03/09:14:53,  80.0, kgenestreti(EVA),"  Moderate (~300 km/s) tailward flow with fluxtuating, mostly southward Bz near central CS. Some E-field wave activity. "
2017-07-03/09:14:53 - 2017-07-03/09:16:53,  80.0, kgenestreti(EVA),"  Moderate (~300 km/s) tailward flow with fluxtuating, mostly southward Bz near central CS. Some E-field wave activity. "
2017-07-03/09:23:53 - 2017-07-03/09:26:13,  90.0, kgenestreti(EVA),"  Moderate (300 km/s) tailward ion flow with fluctuating / mostly southward Bz. Mostly outside central CS (Bx~-20). E-field wave activity, energetic protons. Strong E-fields and cold ion beam during entry into PSBL / southern lobe. "
2017-07-03/09:26:13 - 2017-07-03/09:28:33,  90.0, kgenestreti(EVA),"  Moderate (300 km/s) tailward ion flow with fluctuating / mostly southward Bz. Mostly outside central CS (Bx~-20). E-field wave activity, energetic protons. Strong E-fields and cold ion beam during entry into PSBL / southern lobe. "
